Date,Temperature
2015-01-01,30.83
2015-01-02,29.96
2015-01-03,31.23
2015-01-04,32.63
2015-01-05,30.08
2015-01-06,30.16
2015-01-07,32.97
2015-01-08,31.84
2015-01-09,30.07
2015-01-10,31.67
2015-01-11,30.25
2015-01-12,30.33
2015-01-13,31.47
2015-01-14,28.32
2015-01-15,28.69
2015-01-16,30.52
2015-01-17,29.92
2015-01-18,32.0
2015-01-19,30.24
2015-01-20,29.57
2015-01-21,33.97
2015-01-22,31.51
2015-01-23,32.03
2015-01-24,29.87
2015-01-25,31.27
2015-01-26,32.33
2015-01-27,30.51
2015-01-28,32.88
2015-01-29,31.49
2015-01-30,32.03
2015-01-31,31.64
2015-02-01,35.4
2015-02-02,32.67
2015-02-03,31.18
2015-02-04,34.07
2015-02-05,31.07
2015-02-06,33.29
2015-02-07,30.1
2015-02-08,31.12
2015-02-09,33.47
2015-02-10,34.35
2015-02-11,33.57
2015-02-12,33.2
2015-02-13,32.98
2015-02-14,31.28
2015-02-15,32.48
2015-02-16,32.93
2015-02-17,35.26
2015-02-18,34.25
2015-02-19,31.15
2015-02-20,34.33
2015-02-21,33.32
2015-02-22,32.94
2015-02-23,34.92
2015-02-24,35.6
2015-02-25,35.5
2015-02-26,32.9
2015-02-27,33.74
2015-02-28,34.75
2015-03-01,35.76
2015-03-02,33.62
2015-03-03,34.1
2015-03-04,32.76
2015-03-05,32.67
2015-03-06,35.72
2015-03-07,36.57
2015-03-08,34.46
2015-03-09,36.11
2015-03-10,35.18
2015-03-11,33.7
2015-03-12,35.24
2015-03-13,37.04
2015-03-14,34.7
2015-03-15,37.13
2015-03-16,30.88
2015-03-17,36.06
2015-03-18,34.98
2015-03-19,34.42
2015-03-20,35.03
2015-03-21,31.93
2015-03-22,34.59
2015-03-23,35.47
2015-03-24,37.17
2015-03-25,34.18
2015-03-26,33.76
2015-03-27,34.23
2015-03-28,36.36
2015-03-29,35.49
2015-03-30,34.2
2015-03-31,35.77
2015-04-01,35.15
2015-04-02,36.45
2015-04-03,33.94
2015-04-04,34.5
2015-04-05,34.4
2015-04-06,32.79
2015-04-07,35.42
2015-04-08,35.36
2015-04-09,34.96
2015-04-10,34.59
2015-04-11,32.81
2015-04-12,34.28
2015-04-13,34.38
2015-04-14,33.68
2015-04-15,34.62
2015-04-16,35.45
2015-04-17,37.65
2015-04-18,35.06
2015-04-19,35.15
2015-04-20,34.63
2015-04-21,31.84
2015-04-22,34.64
2015-04-23,34.74
2015-04-24,38.32
2015-04-25,34.3
2015-04-26,35.01
2015-04-27,34.46
2015-04-28,32.73
2015-04-29,36.15
2015-04-30,35.53
2015-05-01,35.55
2015-05-02,32.95
2015-05-03,36.38
2015-05-04,32.12
2015-05-05,35.06
2015-05-06,37.42
2015-05-07,32.6
2015-05-08,33.18
2015-05-09,34.13
2015-05-10,33.17
2015-05-11,31.55
2015-05-12,33.92
2015-05-13,32.17
2015-05-14,34.42
2015-05-15,32.27
2015-05-16,35.91
2015-05-17,32.35
2015-05-18,32.98
2015-05-19,34.62
2015-05-20,31.49
2015-05-21,33.62
2015-05-22,35.17
2015-05-23,30.73
2015-05-24,33.35
2015-05-25,33.4
2015-05-26,34.11
2015-05-27,31.01
2015-05-28,30.82
2015-05-29,33.51
2015-05-30,33.1
2015-05-31,32.96
2015-06-01,33.03
2015-06-02,31.41
2015-06-03,32.7
2015-06-04,32.72
2015-06-05,31.13
2015-06-06,34.92
2015-06-07,32.76
2015-06-08,30.18
2015-06-09,32.87
2015-06-10,30.35
2015-06-11,32.91
2015-06-12,33.38
2015-06-13,30.33
2015-06-14,32.93
2015-06-15,32.02
2015-06-16,32.55
2015-06-17,34.08
2015-06-18,30.78
2015-06-19,29.94
2015-06-20,29.65
2015-06-21,29.68
2015-06-22,30.7
2015-06-23,31.24
2015-06-24,31.06
2015-06-25,31.8
2015-06-26,30.49
2015-06-27,32.57
2015-06-28,29.9
2015-06-29,34.3
2015-06-30,31.07
2015-07-01,28.76
2015-07-02,28.35
2015-07-03,30.59
2015-07-04,29.45
2015-07-05,30.77
2015-07-06,30.32
2015-07-07,29.42
2015-07-08,28.17
2015-07-09,27.08
2015-07-10,28.6
2015-07-11,30.47
2015-07-12,29.42
2015-07-13,27.15
2015-07-14,29.19
2015-07-15,29.43
2015-07-16,27.44
2015-07-17,28.91
2015-07-18,28.69
2015-07-19,26.8
2015-07-20,28.97
2015-07-21,29.19
2015-07-22,29.9
2015-07-23,29.77
2015-07-24,26.04
2015-07-25,26.63
2015-07-26,28.73
2015-07-27,28.65
2015-07-28,28.57
2015-07-29,33.5
2015-07-30,28.5
2015-07-31,29.27
2015-08-01,28.92
2015-08-02,28.4
2015-08-03,26.87
2015-08-04,28.41
2015-08-05,26.04
2015-08-06,26.78
2015-08-07,26.33
2015-08-08,27.11
2015-08-09,30.4
2015-08-10,24.06
2015-08-11,27.82
2015-08-12,24.31
2015-08-13,25.95
2015-08-14,28.23
2015-08-15,26.63
2015-08-16,24.86
2015-08-17,25.34
2015-08-18,27.37
2015-08-19,25.2
2015-08-20,26.56
2015-08-21,26.25
2015-08-22,25.15
2015-08-23,29.29
2015-08-24,26.97
2015-08-25,22.93
2015-08-26,26.2
2015-08-27,24.88
